Vendor ID,Total No. of Orders,No. of Orders per Vendor,Avg. No. of Orders per Vendor,No. of unique Vendors,Avg. order GMV per vendor
DE_Augsburg_0001,231698,127,1370.9940828402366,169,25.946456692913387
DE_Augsburg_0002,231698,440,1370.9940828402366,169,29.20693181818182
DE_BadSchwartau_0001,231698,28,1370.9940828402366,169,20.403571428571432
DE_Berlin_0001,231698,1626,1370.9940828402366,169,25.398942189421895
DE_Berlin_0002,231698,2102,1370.9940828402366,169,26.20596098953378
DE_Berlin_0003,231698,1812,1370.9940828402366,169,24.319922737306847
DE_Berlin_0004,231698,1114,1370.9940828402366,169,26.44039497307002
DE_Berlin_0005,231698,454,1370.9940828402366,169,26.541629955947137
DE_Berlin_0008,231698,1,1370.9940828402366,169,98.9
DE_Berlin_0009,231698,128,1370.9940828402366,169,30.0
DE_Berlin_0011,231698,21,1370.9940828402366,169,24.095238095238095
DE_Berlin_0012,231698,124,1370.9940828402366,169,28.997580645161293
DE_Berlin_0014,231698,1449,1370.9940828402366,169,27.305348516218086
DE_Berlin_0015,231698,2163,1370.9940828402366,169,25.704299583911236
DE_Berlin_0016,231698,3756,1370.9940828402366,169,26.89313365282215
DE_Berlin_0017,231698,1519,1370.9940828402366,169,25.50302830809743
DE_Berlin_0018,231698,455,1370.9940828402366,169,23.954285714285717
DE_Berlin_0019,231698,1309,1370.9940828402366,169,26.937341482047366
DE_Berlin_0020,231698,801,1370.9940828402366,169,23.873845193508117
DE_Berlin_0021,231698,1129,1370.9940828402366,169,26.45132860938884
DE_Berlin_0022,231698,266,1370.9940828402366,169,30.662406015037593
DE_Berlin_0023,231698,3089,1370.9940828402366,169,28.128316607316282
DE_Berlin_0024,231698,1869,1370.9940828402366,169,26.0591492776886
DE_Berlin_0025,231698,7,1370.9940828402366,169,34.285714285714285
DE_Berlin_0026,231698,3034,1370.9940828402366,169,29.082214897824656
DE_Berlin_0029,231698,3005,1370.9940828402366,169,26.59173044925125
DE_Berlin_0030,231698,3057,1370.9940828402366,169,28.417500817795226
DE_Berlin_0031,231698,1,1370.9940828402366,169,23.6
DE_Berlin_0032,231698,2032,1370.9940828402366,169,27.955364173228347
DE_Berlin_0033,231698,11426,1370.9940828402366,169,24.136949063539294
DE_Berlin_0034,231698,1770,1370.9940828402366,169,29.772237288135592
DE_Berlin_0036,231698,6,1370.9940828402366,169,26.966666666666665
DE_Berlin_0037,231698,1657,1370.9940828402366,169,26.149040434520217
DE_Berlin_0038,231698,1700,1370.9940828402366,169,29.1759
DE_Berlin_0039,231698,224,1370.9940828402366,169,27.701339285714287
DE_Berlin_0040,231698,2981,1370.9940828402366,169,27.760835290171084
DE_Berlin_0041,231698,2004,1370.9940828402366,169,28.14558882235529
