Vendor ID,Total No. of Orders,No. of Orders per Vendor,Avg. No. of Orders per Vendor,No. of unique Vendors,Avg. order GMV per vendor
DE_Elmshorn_0001,231698,827,1370.9940828402366,169,28.951209189842807
DE_Erfurt_0002,231698,3172,1370.9940828402366,169,28.14473518284994
DE_Essen_0001,231698,231,1370.9940828402366,169,25.73835497835498
DE_Essen_0002,231698,905,1370.9940828402366,169,26.801436464088397
DE_Essen_0003,231698,1256,1370.9940828402366,169,28.592659235668787
DE_Essen_0004,231698,1222,1370.9940828402366,169,29.787880523731587
DE_Flensburg_0001,231698,2805,1370.9940828402366,169,28.264263814616754
DE_Flensburg_0002,231698,1951,1370.9940828402366,169,28.590748334187598
DE_Frankfurt_0001,231698,1651,1370.9940828402366,169,26.139872804360994
DE_Hamburg_0001,231698,3538,1370.9940828402366,169,26.86535895986433
DE_Hamburg_0002,231698,866,1370.9940828402366,169,26.67332563510393
DE_Hamburg_0003,231698,1225,1370.9940828402366,169,28.37938775510204
DE_Hamburg_0004,231698,445,1370.9940828402366,169,24.62426966292135
DE_Hamburg_0005,231698,3065,1370.9940828402366,169,24.91437194127243
DE_Hamburg_0007,231698,4249,1370.9940828402366,169,27.658225464815253
DE_Hamburg_0008,231698,73,1370.9940828402366,169,19.33150684931507
DE_Hamburg_0009,231698,2070,1370.9940828402366,169,26.35936231884058
DE_Hamburg_0010,231698,802,1370.9940828402366,169,30.697506234413968
DE_Hamburg_0011,231698,3589,1370.9940828402366,169,28.802925606018388
DE_Hamburg_0012,231698,2271,1370.9940828402366,169,28.960413914575078
DE_Hamburg_0013,231698,1865,1370.9940828402366,169,27.28764075067024
DE_Hamburg_0014,231698,2034,1370.9940828402366,169,28.630329400196654
DE_Hamburg_0015,231698,3025,1370.9940828402366,169,28.39287603305785
DE_Hamburg_0016,231698,40,1370.9940828402366,169,31.130000000000003
DE_Hamburg_0017,231698,1178,1370.9940828402366,169,30.62983870967742
DE_Hamburg_0018,231698,1,1370.9940828402366,169,21.5
DE_Hamburg_0019,231698,4934,1370.9940828402366,169,27.61463923794082
DE_Hamburg_0022,231698,104,1370.9940828402366,169,25.896634615384617
DE_Hannover_0001,231698,1962,1370.9940828402366,169,24.65560652395515
DE_Hannover_0002,231698,697,1370.9940828402366,169,26.898206599713056
DE_Hannover_0003,231698,1853,1370.9940828402366,169,25.958100377765785
DE_Hannover_0004,231698,628,1370.9940828402366,169,25.00374203821656
DE_Hannover_0005,231698,2635,1370.9940828402366,169,27.286759013282733
DE_Hannover_0006,231698,908,1370.9940828402366,169,28.218469162995593
DE_Heidelberg_0001,231698,782,1370.9940828402366,169,29.458503836317135
DE_Heidelberg_0002,231698,1435,1370.9940828402366,169,30.74878048780488
DE_Hilden_0001,231698,132,1370.9940828402366,169,27.48560606060606
DE_Karlsruhe_0001,231698,220,1370.9940828402366,169,29.260227272727274
DE_Karlsruhe_0002,231698,2,1370.9940828402366,169,42.075
DE_Kiel_0001,231698,3735,1370.9940828402366,169,24.0240562248996
DE_Kiel_0002,231698,2031,1370.9940828402366,169,27.696061053668142
DE_Kleve_0001,231698,360,1370.9940828402366,169,29.127499999999998
DE_Krefeld_0001,231698,551,1370.9940828402366,169,28.89083484573503
DE_Leipzig_0001,231698,2958,1370.9940828402366,169,26.311964164976338
DE_Leipzig_0002,231698,1793,1370.9940828402366,169,24.95426101505856
DE_Leipzig_0003,231698,1142,1370.9940828402366,169,26.847810858143607
DE_Leipzig_0004,231698,1422,1370.9940828402366,169,29.25018987341772
DE_Leipzig_0005,231698,187,1370.9940828402366,169,29.293315508021394
DE_Leipzig_0006,231698,2212,1370.9940828402366,169,29.34102622061483
DE_Ludwigsfelde_0001,231698,1173,1370.9940828402366,169,26.683290707587382
DE_Luebeck_0001,231698,924,1370.9940828402366,169,26.400670995670996
DE_Lueneburg_0001,231698,1742,1370.9940828402366,169,25.821412169919633
DE_Lueneburg_0002,231698,1954,1370.9940828402366,169,29.11453428863869
DE_Magdeburg_0001,231698,443,1370.9940828402366,169,27.86252821670429
DE_Magdeburg_0002,231698,1968,1370.9940828402366,169,26.338389227642278
DE_Magdeburg_0003,231698,1833,1370.9940828402366,169,25.42997817785052
DE_Magdeburg_0004,231698,1443,1370.9940828402366,169,29.132536382536383
DE_Magdeburg_0005,231698,981,1370.9940828402366,169,27.681753312945972
DE_Mannheim_0001,231698,1149,1370.9940828402366,169,24.677919930374237
DE_Mannheim_0002,231698,565,1370.9940828402366,169,26.535309734513273
DE_Moenchengladbach_0001,231698,1498,1370.9940828402366,169,31.265620827770363
DE_Muelheim_0001,231698,507,1370.9940828402366,169,26.979388560157794
DE_Muenster_0001,231698,1887,1370.9940828402366,169,25.456936936936938
DE_Muenster_0002,231698,653,1370.9940828402366,169,28.27419601837672
DE_Munich_0001,231698,1619,1370.9940828402366,169,25.04881408276714
DE_Munich_0002,231698,869,1370.9940828402366,169,24.254718066743386
DE_Munich_0003,231698,490,1370.9940828402366,169,24.818469387755105
DE_Munich_0004,231698,5,1370.9940828402366,169,53.28000000000001
DE_Munich_0005,231698,251,1370.9940828402366,169,29.509163346613548
DE_Munich_0008,231698,379,1370.9940828402366,169,25.659366754617412
DE_Munich_0012,231698,66,1370.9940828402366,169,23.291666666666668
DE_Neubrandenburg_0001,231698,762,1370.9940828402366,169,25.60787401574803
DE_Neumuenster_0001,231698,1296,1370.9940828402366,169,30.70468364197531
DE_Neumuenster_0002,231698,1190,1370.9940828402366,169,28.41584033613445
DE_Neuss_0001,231698,626,1370.9940828402366,169,28.201198083067094
DE_Nuernberg_0003,231698,537,1370.9940828402366,169,26.646052141527
DE_Nuernberg_0004,231698,2392,1370.9940828402366,169,30.032445652173912
DE_Oldenburg_0001,231698,786,1370.9940828402366,169,25.186386768447836
DE_Oldenburg_0002,231698,1044,1370.9940828402366,169,25.742145593869733
DE_Osterholz_0001,231698,43,1370.9940828402366,169,30.837209302325583
DE_Pinneberg_0001,231698,1184,1370.9940828402366,169,30.17449324324324
DE_Potsdam_0002,231698,891,1370.9940828402366,169,25.496969696969696
DE_Potsdam_0003,231698,2220,1370.9940828402366,169,28.12006756756757
DE_Potsdam_0004,231698,796,1370.9940828402366,169,26.89064070351759
DE_Potsdam_0005,231698,1396,1370.9940828402366,169,27.906590257879657
DE_Potsdam_0007,231698,496,1370.9940828402366,169,30.229637096774194
DE_Rendsburg_0001,231698,1277,1370.9940828402366,169,30.598042286609243
DE_Rendsburg_0002,231698,1026,1370.9940828402366,169,30.1411306042885
DE_Rostock_0001,231698,1680,1370.9940828402366,169,24.806607142857143
DE_Rostock_0002,231698,3291,1370.9940828402366,169,24.60584928593133
DE_Rostock_0003,231698,3053,1370.9940828402366,169,26.73450704225352
DE_Schleswig_0001,231698,646,1370.9940828402366,169,33.27747678018576
DE_Schleswig_0002,231698,487,1370.9940828402366,169,30.01088295687885
DE_Schwerin_0001,231698,2011,1370.9940828402366,169,26.12869219293884
DE_Schwerin_0002,231698,1394,1370.9940828402366,169,27.458967001434722
DE_Stuttgart_0001,231698,2822,1370.9940828402366,169,25.48901133947555
DE_Ulm_0001,231698,590,1370.9940828402366,169,24.327881355932206
DE_Ulm_0002,231698,2453,1370.9940828402366,169,31.534834896045655
DE_Werder_0001,231698,914,1370.9940828402366,169,30.956181619256018
DE_Werder_0002,231698,424,1370.9940828402366,169,29.002712264150944
DE_Wuppertal_0001,231698,2071,1370.9940828402366,169,27.163833896668276
DE_Wuppertal_0002,231698,122,1370.9940828402366,169,33.14672131147541
