Vendor ID,Total No. of Orders,AOV,Avg. Food Rating,Avg. Delivery Rating,Days operating,Avg. Daily orders,First order date,Last order date
DE_Augsburg_0001,127,25.946456692913387,3.888888888888889,4.555555555555555,23,5.521739130434782,2023-09-11,2023-10-19
DE_Augsburg_0002,523,28.798718929254303,3.3617021276595747,3.106382978723404,29,18.03448275862069,2023-12-14,2024-01-17
DE_BadSchwartau_0001,28,20.403571428571432,3.7142857142857144,2.5714285714285716,5,5.6,2023-11-15,2023-11-19
DE_Berlin_0001,1626,25.398942189421895,3.8162162162162163,4.0212765957446805,178,9.134831460674157,2023-05-25,2023-11-29
DE_Berlin_0002,2102,26.20596098953378,4.373949579831932,4.433198380566802,152,13.828947368421053,2023-05-25,2023-11-14
DE_Berlin_0003,1812,24.319922737306847,4.268421052631579,4.267379679144385,140,12.942857142857143,2023-05-25,2023-10-21
DE_Berlin_0004,1114,26.44039497307002,4.196581196581197,4.398305084745763,87,12.804597701149426,2023-05-25,2023-09-21
DE_Berlin_0005,454,26.541629955947137,4.445945945945946,4.5675675675675675,16,28.375,2023-05-25,2023-07-02
DE_Berlin_0008,1,98.90000000000002,,,1,1.0,2023-05-25,2023-05-25
DE_Berlin_0009,128,30.0,4.0625,4.1875,5,25.6,2023-05-25,2023-05-29
DE_Berlin_0011,21,24.095238095238095,5.0,5.0,3,7.0,2023-05-25,2023-05-31
DE_Berlin_0012,124,28.997580645161293,4.076923076923077,4.428571428571429,6,20.666666666666668,2023-05-25,2023-06-06
DE_Berlin_0014,1449,27.305348516218086,3.807142857142857,3.9,176,8.232954545454545,2023-05-25,2023-12-10
DE_Berlin_0015,2163,25.704299583911236,4.45703125,4.574144486692015,109,19.844036697247706,2023-05-25,2023-09-21
DE_Berlin_0016,3827,26.84431931016462,4.017191977077364,4.120786516853933,235,16.285106382978725,2023-05-25,2024-01-17
DE_Berlin_0017,1519,25.50302830809743,3.911764705882353,4.217391304347826,103,14.74757281553398,2023-06-21,2023-10-23
DE_Berlin_0018,455,23.954285714285717,3.71875,4.181818181818182,100,4.55,2023-08-10,2023-11-28
DE_Berlin_0019,1346,26.913692421991087,3.9693877551020407,4.297029702970297,152,8.855263157894736,2023-08-04,2024-01-17
DE_Berlin_0020,820,23.82871951219512,3.9875,4.1125,84,9.761904761904763,2023-08-09,2023-12-26
DE_Berlin_0021,1129,26.45132860938884,4.022388059701493,4.103703703703704,113,9.991150442477876,2023-08-09,2023-12-20
DE_Berlin_0022,266,30.662406015037593,3.4782608695652173,3.5652173913043477,12,22.166666666666668,2023-10-12,2023-10-31
DE_Berlin_0023,3206,28.01329070492826,3.781569965870307,3.9768211920529803,98,32.714285714285715,2023-10-12,2024-01-17
DE_Berlin_0024,2001,25.843693153423285,3.4539007092198584,3.3655172413793104,73,27.410958904109588,2023-10-17,2024-01-17
DE_Berlin_0025,7,34.285714285714285,,,3,2.3333333333333335,2023-10-14,2023-10-19
DE_Berlin_0026,3127,29.007419251678925,3.9105058365758754,4.169172932330827,91,34.362637362637365,2023-10-12,2024-01-17
DE_Berlin_0029,3150,26.591031746031746,4.2923728813559325,4.385892116182573,112,28.125,2023-09-08,2024-01-17
DE_Berlin_0030,3212,28.213916562889167,3.6881720430107525,3.7092198581560285,94,34.170212765957444,2023-10-12,2024-01-17
DE_Berlin_0031,1,23.6,,,1,1.0,2023-10-07,2023-10-07
DE_Berlin_0032,2030,27.944137931034483,3.151219512195122,3.0193236714975846,82,24.75609756097561,2023-10-12,2024-01-06
DE_Berlin_0033,12091,24.001592920353982,4.021868787276342,4.133458646616542,93,130.01075268817203,2023-10-13,2024-01-17
DE_Berlin_0034,1827,29.659370552818828,3.48993288590604,3.5866666666666664,89,20.528089887640448,2023-10-13,2024-01-17
DE_Berlin_0036,98,29.089795918367347,3.888888888888889,3.888888888888889,10,9.8,2024-01-08,2024-01-17
DE_Berlin_0037,1700,26.125711764705883,3.22972972972973,3.302469135802469,97,17.52577319587629,2023-10-12,2024-01-17
DE_Berlin_0038,1732,29.155173210161664,3.509433962264151,3.572289156626506,93,18.623655913978496,2023-10-12,2024-01-17
DE_Berlin_0039,242,27.59090909090909,3.933333333333333,3.3333333333333335,46,5.260869565217392,2023-11-09,2024-01-17
DE_Berlin_0040,3096,27.630662144702843,3.538961038961039,3.6615384615384614,90,34.4,2023-10-12,2024-01-17
DE_Berlin_0041,2123,28.052548280734808,3.56875,3.639751552795031,78,27.21794871794872,2023-11-01,2024-01-17
DE_Berlin_0044,6,32.35,5.0,5.0,1,6.0,2024-01-17,2024-01-17
DE_Berlin_0045,34,26.077941176470592,3.3333333333333335,3.6666666666666665,6,5.666666666666667,2024-01-02,2024-01-07
DE_Bielefeld_0001,1024,26.4169921875,4.262135922330097,4.330097087378641,99,10.343434343434344,2023-07-26,2023-12-03
DE_Bielefeld_0002,2782,28.86961897915169,3.802325581395349,4.101694915254237,94,29.595744680851062,2023-10-13,2024-01-17
DE_Bochum_0001,413,25.561138014527845,4.305084745762712,4.694915254237288,91,4.538461538461538,2023-05-25,2023-10-19
DE_Bochum_0002,498,25.283132530120483,4.172413793103448,4.4655172413793105,68,7.323529411764706,2023-05-26,2023-09-29
DE_Bottrop_0001,71,27.603521126760562,,,5,14.2,2024-01-12,2024-01-17
DE_Brandenburg_0001,1055,27.461516587677725,3.875,3.78125,140,7.535714285714286,2023-08-25,2024-01-17
DE_Bremen_0001,221,28.078280542986427,3.8857142857142857,4.2,17,13.0,2023-05-25,2023-06-21
