Vendor_City,Total No. of orders,Total No. of vendors,Population,Avg. Order Volume per Resident per City,Avg. Food Rating,Avg. Delivery Rating,City Tier
Dinslaken,,,67762.0,,,,Tier 4
Ditzingen,,,25145.0,,,,Tier 4
Donaueschingen,,,22431.0,,,,Tier 4
Dormagen,,,65147.0,,,,Tier 4
Dorsten,,,76720.0,,,,Tier 4
Dortmund,1944.0,3.0,593317.0,0.0032764946900223657,3.3443708609271523,3.8535031847133756,Tier 2
Dreieich⁠10,,,42260.0,,,,Tier 4
Dresden,3617.0,1.0,563311.0,0.0064209646181239135,4.430051813471502,4.471502590673575,Tier 2
Duderstadt,,,20286.0,,,,Tier 4
Duisburg,,,502211.0,,,,Tier 2
Döbeln,,,23763.0,,,,Tier 4
Dülmen,,,47468.0,,,,Tier 4
Düren,,,93207.0,,,,Tier 4
Düsseldorf,7554.0,5.0,629047.0,0.012008641643629173,3.5508982035928143,3.6621880998080614,Tier 2
Eberswalde⁠12,,,41461.0,,,,Tier 4
Eckernförde,,,21507.0,,,,Tier 4
Edewecht⁠(*),,,22908.0,,,,Tier 4
Ehingen (Donau),,,27276.0,,,,Tier 4
Einbeck,,,30728.0,,,,Tier 4
Eisenach,,,42408.0,,,,Tier 4
Eisenhüttenstadt,,,24125.0,,,,Tier 4
Eislingen/Fils,,,21745.0,,,,Tier 4
Ellwangen (Jagst),,,25678.0,,,,Tier 4
Elmshorn,855.0,1.0,50772.0,0.01683999054597022,3.619047619047619,3.7857142857142856,Tier 4
Elsdorf,,,22021.0,,,,Tier 4
Emden,,,50535.0,,,,Tier 4
Emmendingen,,,28856.0,,,,Tier 4
Emmerich am Rhein,,,31544.0,,,,Tier 4
Emsdetten,,,36354.0,,,,Tier 4
Enger,,,20705.0,,,,Tier 4
Ennepetal,,,30652.0,,,,Tier 4
Eppingen,,,22226.0,,,,Tier 4
Erding,,,36813.0,,,,Tier 4
Erftstadt,,,49882.0,,,,Tier 4
Erfurt,6691.0,2.0,214969.0,0.031125418083537627,3.536796536796537,4.0476190476190474,Tier 3
Erkelenz,,,44215.0,,,,Tier 4
Erkrath,,,43856.0,,,,Tier 4
Erlangen,,,116562.0,,,,Tier 3
Eschborn,,,22070.0,,,,Tier 4
Eschweiler,,,56049.0,,,,Tier 4
Espelkamp,,,25174.0,,,,Tier 4
Essen,3715.0,4.0,584580.0,0.006354989907283862,3.7016393442622952,4.086261980830671,Tier 2
Esslingen am Neckar,,,94941.0,,,,Tier 4
Ettlingen,,,39699.0,,,,Tier 4
Euskirchen,,,59772.0,,,,Tier 4
Falkensee,,,44806.0,,,,Tier 4
Fellbach,,,45896.0,,,,Tier 4
Feucht,10.0,1.0,14088.0,0.0007098239636570131,2.2,2.6,Tier 4
Filderstadt⁠4,,,46188.0,,,,Tier 4
Flensburg,4922.0,2.0,92550.0,0.05318206374932469,3.4145077720207255,3.8186528497409324,Tier 4
Flörsheim am Main,,,21851.0,,,,Tier 4
Forchheim,,,32972.0,,,,Tier 4
Frankenthal (Pfalz),,,49051.0,,,,Tier 4
Frankfurt (Oder),,,58230.0,,,,Tier 4
Frankfurt am Main,1880.0,2.0,773068.0,0.0024318688653520775,3.568527918781726,3.546728971962617,Tier 2
Frechen,,,52811.0,,,,Tier 4
Freiberg,,,40485.0,,,,Tier 4
Freiburg im Breisgau,2180.0,2.0,236140.0,0.009231811637164394,3.8688524590163933,3.7295081967213113,Tier 3
Freising,,,49339.0,,,,Tier 4
Freital,,,39558.0,,,,Tier 4
Freudenstadt,,,24301.0,,,,Tier 4
Friedberg,,,30407.0,,,,Tier 4
Friedberg (Hessen),,,30818.0,,,,Tier 4
Friedrichsdorf,,,25662.0,,,,Tier 4
Friedrichshafen,,,62932.0,,,,Tier 4
Friesoythe,,,22945.0,,,,Tier 4
Fröndenberg/Ruhr,,,20548.0,,,,Tier 4
Fulda,,,69968.0,,,,Tier 4
Fürstenfeldbruck,,,37695.0,,,,Tier 4
Fürstenwalde/Spree,,,32646.0,,,,Tier 4
Fürth,,,131433.0,,,,Tier 3
Gaggenau,,,30250.0,,,,Tier 4
Ganderkesee⁠(*),,,31939.0,,,,Tier 4
Garbsen,,,61349.0,,,,Tier 4
Gardelegen,,,22054.0,,,,Tier 4
Garmisch-Partenkirchen⁠(*),,,27482.0,,,,Tier 4
Gauting⁠(*),,,21276.0,,,,Tier 4
Geesthacht,,,32336.0,,,,Tier 4
Geestland⁠19,,,31507.0,,,,Tier 4
Geilenkirchen,,,28252.0,,,,Tier 4
Geislingen an der Steige,,,28655.0,,,,Tier 4
Geldern,,,34298.0,,,,Tier 4
Gelnhausen,,,23679.0,,,,Tier 4
Gelsenkirchen,,,263000.0,,,,Tier 3
Georgsmarienhütte,,,32190.0,,,,Tier 4
Gera,,,93634.0,,,,Tier 4
Geretsried,,,25623.0,,,,Tier 4
Germering,,,41355.0,,,,Tier 4
Germersheim,,,21099.0,,,,Tier 4
Gersthofen,,,23274.0,,,,Tier 4
Geseke,,,21685.0,,,,Tier 4
Gevelsberg,,,31097.0,,,,Tier 4
Giengen an der Brenz,,,20133.0,,,,Tier 4
Gießen,,,94146.0,,,,Tier 4
Gifhorn,,,43625.0,,,,Tier 4
Gladbeck,,,75889.0,,,,Tier 4
Glauchau,,,21951.0,,,,Tier 4
Goch,,,35270.0,,,,Tier 4
Goslar,,,50203.0,,,,Tier 4
Gotha,,,46019.0,,,,Tier 4
Greifswald,,,59691.0,,,,Tier 4
Greiz,,,20397.0,,,,Tier 4
Greven,,,38207.0,,,,Tier 4
Grevenbroich,,,64596.0,,,,Tier 4
Griesheim,,,27837.0,,,,Tier 4
Grimma,,,28205.0,,,,Tier 4
Gronau (Westf.),,,49824.0,,,,Tier 4
Groß-Gerau,,,26418.0,,,,Tier 4
Groß-Umstadt,,,21028.0,,,,Tier 4
Gummersbach,,,52001.0,,,,Tier 4
Göppingen,,,59053.0,,,,Tier 4
Görlitz,,,56574.0,,,,Tier 4
Göttingen,,,118946.0,,,,Tier 3
Günzburg,,,21486.0,,,,Tier 4
Güstrow,,,29556.0,,,,Tier 4
Gütersloh,,,102393.0,,,,Tier 3
Haan,,,30542.0,,,,Tier 4
Haar⁠(*),,,22555.0,,,,Tier 4
Hagen,,,189783.0,,,,Tier 3
Halberstadt,,,40457.0,,,,Tier 4
Halle (Saale),6125.0,2.0,242083.0,0.02530123965747285,3.825925925925926,4.055555555555555,Tier 3
Halle (Westf.),,,21970.0,,,,Tier 4
Haltern am See,,,38117.0,,,,Tier 4
Hamburg,36804.0,19.0,1892122.0,0.019451177038267087,3.4865771812080535,3.5896284197631685,Tier 1
Hameln,,,57905.0,,,,Tier 4
Hamm,,,180849.0,,,,Tier 3
Hamminkeln,,,27248.0,,,,Tier 4
Hanau,,,101364.0,,,,Tier 3
Hann. Münden,,,23530.0,,,,Tier 4
Hannover,8893.0,6.0,545045.0,0.016316083993064792,3.694249649368864,3.8811475409836067,Tier 2
Haren (Ems),,,24498.0,,,,Tier 4
Harsewinkel,,,25999.0,,,,Tier 4
Hattersheim am Main,,,28528.0,,,,Tier 4
Hattingen,,,54637.0,,,,Tier 4
Haßloch⁠(*),,,20387.0,,,,Tier 4
Heide,,,22114.0,,,,Tier 4
Heidelberg,2306.0,2.0,162273.0,0.014210620374307495,3.0437158469945356,2.8972972972972975,Tier 3
Heidenheim an der Brenz,,,50025.0,,,,Tier 4
Heilbronn,,,128334.0,,,,Tier 3
Heiligenhaus,,,26681.0,,,,Tier 4
Heinsberg,,,43476.0,,,,Tier 4
Helmstedt,,,25779.0,,,,Tier 4
Hemer,,,34024.0,,,,Tier 4
Hennef (Sieg),,,48002.0,,,,Tier 4
Hennigsdorf,,,26728.0,,,,Tier 4
Henstedt-Ulzburg⁠(*),,,28323.0,,,,Tier 4
Heppenheim (Bergstraße),,,26946.0,,,,Tier 4
Herborn,,,20894.0,,,,Tier 4
Herdecke,,,22758.0,,,,Tier 4
Herford,,,67459.0,,,,Tier 4
Herne,,,157368.0,,,,Tier 3
Herrenberg,,,32649.0,,,,Tier 4
Herten,,,62473.0,,,,Tier 4
Herzogenaurach,,,24404.0,,,,Tier 4
Herzogenrath,,,46941.0,,,,Tier 4
Hilden,132.0,1.0,55815.0,0.00236495565708143,4.222222222222222,4.333333333333333,Tier 4
Hildesheim,,,101858.0,,,,Tier 3
Hockenheim,,,21745.0,,,,Tier 4
Hof,,,46656.0,,,,Tier 4
Hofheim am Taunus,,,40371.0,,,,Tier 4
Hohen Neuendorf,,,27139.0,,,,Tier 4
Holzminden,,,20120.0,,,,Tier 4
Homburg,,,42297.0,,,,Tier 4
Horb am Neckar,,,25752.0,,,,Tier 4
Hoyerswerda,,,31356.0,,,,Tier 4
Husum,,,23735.0,,,,Tier 4
Hörstel,,,20766.0,,,,Tier 4
Höxter,,,28709.0,,,,Tier 4
Hückelhoven⁠11,,,41301.0,,,,Tier 4
Hürth,,,60969.0,,,,Tier 4
Ibbenbüren,,,52421.0,,,,Tier 4
Idar-Oberstein,,,28851.0,,,,Tier 4
Idstein,,,25554.0,,,,Tier 4
Ilmenau,,,39127.0,,,,Tier 4
Ilsede⁠(*),,,,,,,Tier 4
Ingelheim am Rhein,,,36002.0,,,,Tier 4
Ingolstadt,,,141029.0,,,,Tier 3
Iserlohn,,,92540.0,,,,Tier 4
Isernhagen⁠(*) ⁠28,,,24563.0,,,,Tier 4
Itzehoe,,,32258.0,,,,Tier 4
Jena,,,111191.0,,,,Tier 3
Jüchen,,,23940.0,,,,Tier 4
Jülich,,,33158.0,,,,Tier 4
Kaarst,,,44253.0,,,,Tier 4
Kaiserslautern,,,101228.0,,,,Tier 3
Kaltenkirchen,,,23538.0,,,,Tier 4
Kamen,,,43058.0,,,,Tier 4
Kamp-Lintfort,,,38665.0,,,,Tier 4
Karben,,,23172.0,,,,Tier 4
Karlsfeld⁠(*),,,22069.0,,,,Tier 4
Karlsruhe,222.0,2.0,308707.0,0.0007191284940088822,4.363636363636363,4.121212121212121,Tier 3
Kassel,,,204202.0,,,,Tier 3
Kaufbeuren,,,45792.0,,,,Tier 4
Kehl,,,38154.0,,,,Tier 4
Kelkheim (Taunus),,,29112.0,,,,Tier 4
Kempen,,,34841.0,,,,Tier 4
Kempten (Allgäu),,,70056.0,,,,Tier 4
Kerpen,,,67239.0,,,,Tier 4
Kevelaer,,,28232.0,,,,Tier 4
Kiel,9947.0,3.0,247717.0,0.04015469265331003,3.4713740458015265,3.6125954198473282,Tier 3
Kirchheim unter Teck,,,41907.0,,,,Tier 4
Kitzingen,,,22945.0,,,,Tier 4
Kleinmachnow⁠(*),,,20341.0,,,,Tier 4
Kleve,490.0,1.0,53388.0,0.009178092455233386,3.5,4.285714285714286,Tier 4
Koblenz,,,115268.0,,,,Tier 3
Konstanz,,,85859.0,,,,Tier 4
Korbach,,,23706.0,,,,Tier 4
Kornwestheim,,,34130.0,,,,Tier 4
Korschenbroich,,,34187.0,,,,Tier 4
Krefeld,553.0,1.0,228426.0,0.0024209153073643107,2.9047619047619047,3.5476190476190474,Tier 3
Kreuztal,,,31197.0,,,,Tier 4
Kulmbach,,,25818.0,,,,Tier 4
Köln,14499.0,12.0,1084831.0,0.013365215411432749,3.915335463258786,4.016755521706017,Tier 1
Königs Wusterhausen,,,38929.0,,,,Tier 4
Königsbrunn,,,28231.0,,,,Tier 4
Königswinter,,,41495.0,,,,Tier 4
Köthen (Anhalt),,,25116.0,,,,Tier 4
Kürten⁠(*),,,20128.0,,,,Tier 4
Laatzen,,,42675.0,,,,Tier 4
Lage,,,35423.0,,,,Tier 4
Lahr/Schwarzwald,,,49074.0,,,,Tier 4
Lampertheim,,,32870.0,,,,Tier 4
Landau in der Pfalz,,,47610.0,,,,Tier 4
Landsberg am Lech,,,29551.0,,,,Tier 4
Landshut,,,75457.0,,,,Tier 4
Langen,,,39217.0,,,,Tier 4
Langenfeld,1617.0,1.0,59783.0,0.027047822959704263,3.0,3.970149253731343,Tier 4
Langenhagen,,,55367.0,,,,Tier 4
Lauf an der Pegnitz,,,26420.0,,,,Tier 4
Laupheim,,,22863.0,,,,Tier 4
Leer,,,35663.0,,,,Tier 4
Lehrte,,,44823.0,,,,Tier 4
Leichlingen (Rheinland),,,28048.0,,,,Tier 4
Leimen,,,27142.0,,,,Tier 4
Leinefelde-Worbis⁠35,,,20119.0,,,,Tier 4
Leinfelden-Echterdingen⁠13,,,40420.0,,,,Tier 4
Leipzig,9992.0,6.0,616093.0,0.016218330674102773,3.8793650793650793,3.937116564417178,Tier 2
Lemgo,,,40594.0,,,,Tier 4
Lengerich,,,22980.0,,,,Tier 4
Lennestadt,,,25352.0,,,,Tier 4
Leonberg,,,49512.0,,,,Tier 4
Leutkirch im Allgäu,,,23345.0,,,,Tier 4
Leverkusen,,,165748.0,,,,Tier 3
Lichtenfels,,,20217.0,,,,Tier 4
Lilienthal⁠(*),,,20293.0,,,,Tier 4
Limbach-Oberfrohna,,,23833.0,,,,Tier 4
Limburg an der Lahn,,,36053.0,,,,Tier 4
Lindau (Bodensee),,,25846.0,,,,Tier 4
Lindlar⁠(*),,,21665.0,,,,Tier 4
Lingen (Ems),,,56542.0,,,,Tier 4
Lippstadt,,,68890.0,,,,Tier 4
Lohmar,,,30846.0,,,,Tier 4
Lohne (Oldenburg),,,27814.0,,,,Tier 4
Luckenwalde,,,20839.0,,,,Tier 4
Ludwigsburg,,,94157.0,,,,Tier 4
Ludwigsfelde,1223.0,1.0,28424.0,0.04302701942020828,4.304347826086956,4.043478260869565,Tier 4
Ludwigshafen am Rhein,,,174265.0,,,,Tier 3
Lutherstadt Eisleben,,,22639.0,,,,Tier 4
Lutherstadt Wittenberg,,,45535.0,,,,Tier 4
Löhne,,,40265.0,,,,Tier 4
Lörrach,,,49876.0,,,,Tier 4
Lübbecke,,,26027.0,,,,Tier 4
Lübeck,924.0,1.0,218095.0,0.0042366858479103145,3.8955223880597014,4.104477611940299,Tier 3
Lüdenscheid,,,71865.0,,,,Tier 4
Lüdinghausen,,,25259.0,,,,Tier 4
Lüneburg,3837.0,2.0,76837.0,0.049936879368012804,3.085889570552147,3.8098159509202456,Tier 4
Lünen,,,86868.0,,,,Tier 4
Magdeburg,6864.0,6.0,239364.0,0.028675991377149445,3.7936507936507935,4.095238095238095,Tier 3
Maintal⁠15,,,39815.0,,,,Tier 4
Mainz,,,220552.0,,,,Tier 3
Mannheim,1854.0,2.0,315554.0,0.005875381075822205,4.078740157480315,4.137404580152672,Tier 3
Marburg,,,77845.0,,,,Tier 4
Markkleeberg,,,24523.0,,,,Tier 4
Marl,,,84331.0,,,,Tier 4
Mechernich,,,28567.0,,,,Tier 4
Meckenheim,,,24877.0,,,,Tier 4
Meerbusch,,,57422.0,,,,Tier 4
Meinerzhagen,,,20812.0,,,,Tier 4
Meiningen,,,24745.0,,,,Tier 4
Meißen,,,29011.0,,,,Tier 4
Melle,,,47228.0,,,,Tier 4
Memmingen,,,45857.0,,,,Tier 4
Menden (Sauerland),,,52485.0,,,,Tier 4
Meppen,,,36117.0,,,,Tier 4
Merseburg,,,34335.0,,,,Tier 4
Merzig,,,30051.0,,,,Tier 4
Meschede,,,30025.0,,,,Tier 4
Mettmann,,,39134.0,,,,Tier 4
Metzingen,,,22528.0,,,,Tier 4
Minden,,,83076.0,,,,Tier 4
Moers,,,105287.0,,,,Tier 3
Monheim am Rhein,,,43050.0,,,,Tier 4
Moormerland⁠(*) ⁠29,,,24055.0,,,,Tier 4
Mosbach,,,23484.0,,,,Tier 4
Mönchengladbach,1542.0,1.0,268465.0,0.005743765481533906,3.104651162790698,2.9767441860465116,Tier 3
Mörfelden-Walldorf⁠18,,,35291.0,,,,Tier 4
Mössingen,,,20900.0,,,,Tier 4
Mühlacker,,,26394.0,,,,Tier 4
Mühldorf am Inn,,,21697.0,,,,Tier 4
Mühlhausen/Thüringen,,,36226.0,,,,Tier 4
Mühlheim am Main,,,29252.0,,,,Tier 4
Mülheim an der Ruhr,1458.0,2.0,172404.0,0.008456880350803926,3.492957746478873,3.6901408450704225,Tier 3
München,3679.0,7.0,1512491.0,0.0024324111680664546,3.772277227722772,4.002386634844869,Tier 1
Münster,2549.0,2.0,320946.0,0.007942146030796458,3.6581632653061225,3.8477157360406093,Tier 3
Nagold,,,22985.0,,,,Tier 4
Name,,,2022.0,,,,Tier 4
Naumburg (Saale),,,32289.0,,,,Tier 4
Neckarsulm,,,26495.0,,,,Tier 4
Netphen,,,23363.0,,,,Tier 4
Nettetal,,,43095.0,,,,Tier 4
Neu Wulmstorf⁠(*),,,22450.0,,,,Tier 4
Neu-Isenburg,,,39287.0,,,,Tier 4
Neu-Ulm,,,61043.0,,,,Tier 4
Neubrandenburg,762.0,1.0,63989.0,0.01190829673850193,4.44,4.32,Tier 4
Neuburg an der Donau,,,30467.0,,,,Tier 4
Neufahrn bei Freising⁠(*),,,20590.0,,,,Tier 4
Neukirchen-Vluyn,,,27956.0,,,,Tier 4
Neumarkt in der Oberpfalz,,,40808.0,,,,Tier 4
Neumünster,2609.0,2.0,79502.0,0.032816784483409224,3.086021505376344,3.4946236559139785,Tier 4
Neunkirchen,,,46882.0,,,,Tier 4
Neunkirchen-Seelscheid⁠(*),,,20109.0,,,,Tier 4
Neuruppin,,,31422.0,,,,Tier 4
Neuss,626.0,1.0,154139.0,0.0040612693737470725,2.757575757575758,3.0303030303030303,Tier 3
Neustadt am Rübenberge,,,45262.0,,,,Tier 4
Neustadt an der Weinstraße,,,53981.0,,,,Tier 4
Neustrelitz,,,20340.0,,,,Tier 4
Neusäß,,,22872.0,,,,Tier 4
Neuwied,,,65986.0,,,,Tier 4
Nidderau,,,20700.0,,,,Tier 4
Niederkassel,,,39281.0,,,,Tier 4
Nienburg/Weser,,,32126.0,,,,Tier 4
Norden,,,25179.0,,,,Tier 4
Nordenham,,,26308.0,,,,Tier 4
Norderstedt,,,81880.0,,,,Tier 4
Nordhausen,,,41339.0,,,,Tier 4
Nordhorn,,,55242.0,,,,Tier 4
Northeim,,,29440.0,,,,Tier 4
Nördlingen,,,21009.0,,,,Tier 4
Nürnberg,3118.0,2.0,523026.0,0.005961462718870572,3.3106796116504853,3.5707547169811322,Tier 2
Nürtingen,,,41403.0,,,,Tier 4
Oberhausen,,,210824.0,,,,Tier 3
Oberkirch,,,20092.0,,,,Tier 4
Obertshausen,,,25307.0,,,,Tier 4
Oberursel (Taunus),,,47042.0,,,,Tier 4
Ochtrup,,,20230.0,,,,Tier 4
Oelde,,,29644.0,,,,Tier 4
Oer-Erkenschwick,,,31838.0,,,,Tier 4
Offenbach am Main,,,134170.0,,,,Tier 3
Offenburg,,,61670.0,,,,Tier 4
Olching,,,27927.0,,,,Tier 4
Oldenburg,1859.0,2.0,172830.0,0.01075623445003761,3.55,3.9785714285714286,Tier 3
Olpe,,,25015.0,,,,Tier 4
Oranienburg,,,47752.0,,,,Tier 4
Osnabrück,,,167366.0,,,,Tier 3
Osterholz-Scharmbeck,101.0,1.0,30659.0,0.0032943018363286473,4.0,4.0,Tier 4
Osterode am Harz,,,21446.0,,,,Tier 4
Ostfildern⁠14,,,39806.0,,,,Tier 4
Ottobrunn⁠(*),,,22430.0,,,,Tier 4
Overath,,,27405.0,,,,Tier 4
Paderborn,,,154755.0,,,,Tier 3
Panketal⁠(*)⁠34,,,20854.0,,,,Tier 4
Papenburg,,,38556.0,,,,Tier 4
Passau,,,53907.0,,,,Tier 4
Peine,,,51411.0,,,,Tier 4
Petershagen,,,25222.0,,,,Tier 4
Pfaffenhofen an der Ilm,,,26943.0,,,,Tier 4
Pforzheim,,,127849.0,,,,Tier 3
Pfungstadt,,,25231.0,,,,Tier 4
Pinneberg,1293.0,1.0,44279.0,0.02920120147248131,3.7285714285714286,3.8,Tier 4
Pirmasens,,,40682.0,,,,Tier 4
Pirna,,,39054.0,,,,Tier 4
Plauen,,,64763.0,,,,Tier 4
Plettenberg,,,24954.0,,,,Tier 4
Porta Westfalica⁠16,,,36374.0,,,,Tier 4
Potsdam,6044.0,5.0,185750.0,0.03253835800807537,3.956923076923077,4.172307692307692,Tier 3
Puchheim,,,21420.0,,,,Tier 4
Pulheim,,,55530.0,,,,Tier 4
Quedlinburg,,,23313.0,,,,Tier 4
Quickborn,,,22165.0,,,,Tier 4
Radebeul,,,34096.0,,,,Tier 4
Radevormwald,,,22222.0,,,,Tier 4
Radolfzell am Bodensee,,,32043.0,,,,Tier 4
Rastatt,,,51310.0,,,,Tier 4
Rastede⁠(*),,,23180.0,,,,Tier 4
Rathenow,,,24597.0,,,,Tier 4
Ratingen,,,87388.0,,,,Tier 4
Ravensburg,,,51482.0,,,,Tier 4
Recklinghausen,,,111734.0,,,,Tier 3
Rees,,,21475.0,,,,Tier 4
Regensburg,,,157443.0,,,,Tier 3
Reichenbach im Vogtland,,,20371.0,,,,Tier 4
Reinbek,,,28536.0,,,,Tier 4
Rellingen,1333.0,1.0,15102.0,0.08826645477420209,4.032258064516129,4.338709677419355,Tier 4
Remscheid,,,112613.0,,,,Tier 3
Remseck am Neckar⁠26,,,26549.0,,,,Tier 4
