Vendor_City,Total No. of orders,Total No. of vendors,Population,Avg. Order Volume per Resident per City,Avg. Food Rating,Avg. Delivery Rating,City Tier
Rendsburg,2389.0,2.0,29743.0,0.0803214201660895,3.717948717948718,4.128205128205129,Tier 4
Reutlingen,,,117547.0,,,,Tier 3
Rheda-Wiedenbrück,,,49486.0,,,,Tier 4
Rheinbach,,,27102.0,,,,Tier 4
Rheinberg,,,31150.0,,,,Tier 4
Rheine,,,77893.0,,,,Tier 4
Rheinfelden (Baden),,,33581.0,,,,Tier 4
Rheinstetten⁠33,,,20659.0,,,,Tier 4
Riedstadt⁠30,,,24209.0,,,,Tier 4
Riesa,,,29076.0,,,,Tier 4
Rietberg,,,29919.0,,,,Tier 4
Rinteln,,,25721.0,,,,Tier 4
Rodgau⁠6,,,46426.0,,,,Tier 4
Ronnenberg,,,24570.0,,,,Tier 4
Rosenheim,,,64403.0,,,,Tier 4
Rostock,8323.0,3.0,209920.0,0.0396484375,3.796511627906977,3.7180232558139537,Tier 3
Rotenburg (Wümme),,,22656.0,,,,Tier 4
Roth,,,25367.0,,,,Tier 4
Rottenburg am Neckar,,,44653.0,,,,Tier 4
Rottweil,,,25513.0,,,,Tier 4
Rudolstadt,,,24749.0,,,,Tier 4
Rödermark⁠23,,,28834.0,,,,Tier 4
Rösrath,,,28889.0,,,,Tier 4
Rüsselsheim am Main,,,67277.0,,,,Tier 4
Saalfeld/Saale,,,29224.0,,,,Tier 4
Saarbrücken,,,181959.0,,,,Tier 3
Saarlouis,,,34717.0,,,,Tier 4
Salzgitter,,,104548.0,,,,Tier 3
Salzkotten,,,25311.0,,,,Tier 4
Salzwedel,,,23543.0,,,,Tier 4
Sangerhausen,,,25441.0,,,,Tier 4
Sankt Augustin,,,56369.0,,,,Tier 4
Schifferstadt,,,20615.0,,,,Tier 4
Schleswig,1178.0,2.0,25832.0,0.045602353669866834,3.943396226415094,4.0754716981132075,Tier 4
Schloß Holte-Stukenbrock,,,27467.0,,,,Tier 4
Schmalkalden,,,20065.0,,,,Tier 4
Schmallenberg,,,24878.0,,,,Tier 4
Schopfheim,,,20163.0,,,,Tier 4
Schorndorf,,,40204.0,,,,Tier 4
Schortens,,,20797.0,,,,Tier 4
Schramberg,,,21125.0,,,,Tier 4
Schwabach,,,41227.0,,,,Tier 4
Schwandorf,,,29990.0,,,,Tier 4
Schwanewede⁠(*),,,20661.0,,,,Tier 4
Schwedt/Oder,,,33524.0,,,,Tier 4
Schweinfurt,,,54675.0,,,,Tier 4
Schwelm,,,28723.0,,,,Tier 4
Schwerin,3538.0,2.0,98596.0,0.03588380867377987,3.868995633187773,3.7554585152838427,Tier 4
Schwerte,,,46658.0,,,,Tier 4
Schwetzingen,,,22062.0,,,,Tier 4
Schwäbisch Gmünd,,,62325.0,,,,Tier 4
Schwäbisch Hall,,,41898.0,,,,Tier 4
Schönebeck,,,30389.0,,,,Tier 4
Seelze,,,34742.0,,,,Tier 4
Seevetal⁠(*) ⁠9,,,42449.0,,,,Tier 4
Sehnde,,,24157.0,,,,Tier 4
Seligenstadt,,,21568.0,,,,Tier 4
Selm,,,26163.0,,,,Tier 4
Senden,,,22896.0,,,,Tier 4
Senden⁠(*),,,20895.0,,,,Tier 4
Senftenberg,,,23405.0,,,,Tier 4
Siegburg,,,42049.0,,,,Tier 4
Siegen,,,102560.0,,,,Tier 3
Sindelfingen,,,64995.0,,,,Tier 4
Singen (Hohentwiel),,,49441.0,,,,Tier 4
Sinsheim,,,36601.0,,,,Tier 4
Soest,,,48607.0,,,,Tier 4
Solingen,,,160643.0,,,,Tier 3
Soltau,,,21808.0,,,,Tier 4
Sondershausen,,,21317.0,,,,Tier 4
Sonneberg,,,23507.0,,,,Tier 4
Sonthofen,,,21859.0,,,,Tier 4
Speyer,,,51368.0,,,,Tier 4
Spremberg,,,21585.0,,,,Tier 4
Springe,,,29113.0,,,,Tier 4
Sprockhövel,,,24838.0,,,,Tier 4
St. Ingbert,,,35216.0,,,,Tier 4
St. Wendel,,,25583.0,,,,Tier 4
Stade,,,48353.0,,,,Tier 4
Stadtallendorf,,,21552.0,,,,Tier 4
Stadthagen,,,22643.0,,,,Tier 4
Stadtlohn,,,20807.0,,,,Tier 4
Starnberg,,,23741.0,,,,Tier 4
Staßfurt,,,24293.0,,,,Tier 4
Steinfurt⁠17,,,35102.0,,,,Tier 4
Steinhagen⁠(*),,,20671.0,,,,Tier 4
Stendal,,,39105.0,,,,Tier 4
Stolberg (Rheinland),,,56455.0,,,,Tier 4
Stralsund,,,59363.0,,,,Tier 4
Straubing,,,49164.0,,,,Tier 4
Strausberg,,,27344.0,,,,Tier 4
Stuhr⁠(*),,,33952.0,,,,Tier 4
Stutensee⁠27,,,25204.0,,,,Tier 4
Stuttgart,2882.0,1.0,632865.0,0.0045538938004155705,3.7421875,3.7142857142857144,Tier 2
Suhl,,,37009.0,,,,Tier 4
Sundern (Sauerland),,,27741.0,,,,Tier 4
Syke,,,24810.0,,,,Tier 4
Taunusstein,,,30810.0,,,,Tier 4
Telgte,,,20222.0,,,,Tier 4
Teltow,,,27697.0,,,,Tier 4
Tettnang,,,20037.0,,,,Tier 4
Traunreut,,,21102.0,,,,Tier 4
Traunstein,,,21251.0,,,,Tier 4
Trier,,,112195.0,,,,Tier 3
Troisdorf,,,76251.0,,,,Tier 4
Tuttlingen,,,37458.0,,,,Tier 4
Tönisvorst,,,29319.0,,,,Tier 4
Tübingen,,,92811.0,,,,Tier 4
Uelzen,,,33934.0,,,,Tier 4
Uetze⁠(*),,,20471.0,,,,Tier 4
Ulm,3200.0,2.0,128928.0,0.02482005460412013,4.0,4.236024844720497,Tier 3
Unna,,,60892.0,,,,Tier 4
Unterhaching⁠(*),,,25873.0,,,,Tier 4
Unterschleißheim,,,29523.0,,,,Tier 4
Vaihingen an der Enz,,,29305.0,,,,Tier 4
Varel,,,24397.0,,,,Tier 4
Vaterstetten⁠(*) ⁠31,,,25530.0,,,,Tier 4
Vechta,,,33769.0,,,,Tier 4
Velbert,,,82445.0,,,,Tier 4
Verden (Aller),,,28526.0,,,,Tier 4
Verl,,,25522.0,,,,Tier 4
Versmold,,,22274.0,,,,Tier 4
Viernheim,,,34534.0,,,,Tier 4
Viersen,,,78208.0,,,,Tier 4
Villingen-Schwenningen⁠3,,,88213.0,,,,Tier 4
Voerde (Niederrhein),,,36196.0,,,,Tier 4
Vreden,,,23161.0,,,,Tier 4
Völklingen,,,40192.0,,,,Tier 4
Wachtberg⁠(*),,,20581.0,,,,Tier 4
Waghäusel,,,21444.0,,,,Tier 4
Waiblingen,,,56081.0,,,,Tier 4
Waldkirch,,,22127.0,,,,Tier 4
Waldkraiburg,,,24488.0,,,,Tier 4
Waldshut-Tiengen,,,24605.0,,,,Tier 4
Wallenhorst⁠(*),,,22989.0,,,,Tier 4
Walsrode,,,30819.0,,,,Tier 4
Waltrop,,,29644.0,,,,Tier 4
Wandlitz⁠(*),,,24104.0,,,,Tier 4
Wangen im Allgäu,,,27411.0,,,,Tier 4
Warburg,,,23322.0,,,,Tier 4
Waren (Müritz),,,21267.0,,,,Tier 4
Warendorf,,,37616.0,,,,Tier 4
Warstein,,,24647.0,,,,Tier 4
Wedel,,,34538.0,,,,Tier 4
Wedemark⁠(*) ⁠21,,,29814.0,,,,Tier 4
Wegberg,,,28074.0,,,,Tier 4
Weiden in der Oberpfalz,,,43052.0,,,,Tier 4
Weil am Rhein,,,30769.0,,,,Tier 4
Weilheim in Oberbayern,,,23056.0,,,,Tier 4
Weimar,,,65620.0,,,,Tier 4
Weingarten,,,25257.0,,,,Tier 4
Weinheim,,,45275.0,,,,Tier 4
Weinstadt⁠24,,,27088.0,,,,Tier 4
Weiterstadt,,,26322.0,,,,Tier 4
Weißenfels,,,39041.0,,,,Tier 4
Werdau,,,20702.0,,,,Tier 4
Werder (Havel),1375.0,2.0,27039.0,0.050852472354746846,3.604651162790698,4.441860465116279,Tier 4
Werl,,,31045.0,,,,Tier 4
Wermelskirchen,,,34739.0,,,,Tier 4
Werne,,,29680.0,,,,Tier 4
Wernigerode,,,32024.0,,,,Tier 4
Wertheim,,,23196.0,,,,Tier 4
Wesel,,,61330.0,,,,Tier 4
Wesseling,,,38192.0,,,,Tier 4
Westerstede,,,23854.0,,,,Tier 4
Westoverledingen⁠(*),,,21678.0,,,,Tier 4
Wetter (Ruhr),,,27550.0,,,,Tier 4
Wetzlar,,,54187.0,,,,Tier 4
Weyhe⁠(*) ⁠20,,,31672.0,,,,Tier 4
Wiehl,,,25314.0,,,,Tier 4
Wiesbaden,,,283083.0,,,,Tier 3
Wiesloch,,,27049.0,,,,Tier 4
Wildeshausen,,,21154.0,,,,Tier 4
Wilhelmshaven,,,76089.0,,,,Tier 4
Willich,,,50144.0,,,,Tier 4
Winnenden,,,29245.0,,,,Tier 4
Winsen (Luhe),,,36295.0,,,,Tier 4
Wipperfürth,,,21112.0,,,,Tier 4
Wismar,,,43878.0,,,,Tier 4
Witten,,,95897.0,,,,Tier 4
Wittmund,,,20773.0,,,,Tier 4
Wolfenbüttel,,,52681.0,,,,Tier 4
Wolfsburg,,,125961.0,,,,Tier 3
Worms,,,84646.0,,,,Tier 4
Wunstorf,,,41689.0,,,,Tier 4
Wuppertal,2333.0,2.0,358876.0,0.006500852662200872,2.8722466960352424,3.0289256198347108,Tier 3
Wülfrath,,,21100.0,,,,Tier 4
Würselen,,,38598.0,,,,Tier 4
Würzburg,,,127810.0,,,,Tier 3
Xanten,,,21582.0,,,,Tier 4
Zeitz,,,27976.0,,,,Tier 4
Zerbst/Anhalt,,,21519.0,,,,Tier 4
Zirndorf,,,26234.0,,,,Tier 4
Zittau,,,24794.0,,,,Tier 4
Zossen,,,21433.0,,,,Tier 4
Zweibrücken,,,34534.0,,,,Tier 4
Zwickau,,,87172.0,,,,Tier 4
Zülpich,,,21025.0,,,,Tier 4
Öhringen,,,25388.0,,,,Tier 4
Übach-Palenberg,,,24215.0,,,,Tier 4
Überlingen,,,23098.0,,,,Tier 4
