Vendor ID,Total No. of Orders,AOV,Avg. Food Rating,Avg. Delivery Rating,Days operating,Avg. Daily orders,First order date,Last order date
DE_Augsburg_0001,127,25.946456692913387,3.888888888888889,4.555555555555555,39,3.2564102564102564,2023-09-11,2023-10-19
DE_Augsburg_0002,523,28.798718929254303,3.3617021276595747,3.106382978723404,35,14.942857142857143,2023-12-14,2024-01-17
DE_BadSchwartau_0001,28,20.403571428571432,3.7142857142857144,2.5714285714285716,5,5.6,2023-11-15,2023-11-19
DE_Berlin_0001,1626,25.398942189421895,3.8162162162162163,4.0212765957446805,189,8.603174603174603,2023-05-25,2023-11-29
DE_Berlin_0002,2102,26.20596098953378,4.373949579831932,4.433198380566802,174,12.080459770114942,2023-05-25,2023-11-14
DE_Berlin_0003,1812,24.319922737306847,4.268421052631579,4.267379679144385,150,12.08,2023-05-25,2023-10-21
DE_Berlin_0004,1114,26.44039497307002,4.196581196581197,4.398305084745763,120,9.283333333333333,2023-05-25,2023-09-21
DE_Berlin_0005,454,26.541629955947137,4.445945945945946,4.5675675675675675,39,11.64102564102564,2023-05-25,2023-07-02
DE_Berlin_0008,1,98.90000000000002,,,1,1.0,2023-05-25,2023-05-25
DE_Berlin_0009,128,30.0,4.0625,4.1875,5,25.6,2023-05-25,2023-05-29
DE_Berlin_0011,21,24.095238095238095,5.0,5.0,7,3.0,2023-05-25,2023-05-31
DE_Berlin_0012,124,28.997580645161293,4.076923076923077,4.428571428571429,13,9.538461538461538,2023-05-25,2023-06-06
DE_Berlin_0014,1449,27.305348516218086,3.807142857142857,3.9,200,7.245,2023-05-25,2023-12-10
DE_Berlin_0015,2163,25.704299583911236,4.45703125,4.574144486692015,120,18.025,2023-05-25,2023-09-21
DE_Berlin_0016,3827,26.84431931016462,4.017191977077364,4.120786516853933,238,16.07983193277311,2023-05-25,2024-01-17
DE_Berlin_0017,1519,25.50302830809743,3.911764705882353,4.217391304347826,125,12.152,2023-06-21,2023-10-23
DE_Berlin_0018,455,23.954285714285717,3.71875,4.181818181818182,111,4.099099099099099,2023-08-10,2023-11-28
DE_Berlin_0019,1346,26.913692421991087,3.9693877551020407,4.297029702970297,167,8.059880239520957,2023-08-04,2024-01-17
DE_Berlin_0020,820,23.82871951219512,3.9875,4.1125,140,5.857142857142857,2023-08-09,2023-12-26
DE_Berlin_0021,1129,26.45132860938884,4.022388059701493,4.103703703703704,134,8.425373134328359,2023-08-09,2023-12-20
DE_Berlin_0022,266,30.662406015037593,3.4782608695652173,3.5652173913043477,20,13.3,2023-10-12,2023-10-31
