City Tier,Total No. of orders,AOV,Total GMV,Total Population Served,Avg. Order Volume per Resident,Avg. Daily Order Volume per Resident,No. of unique Vendors,Avg. Daily Orders per Vendor,Avg. food rating,Avg. delivery rating
Tier 1,115021.0,26.851686822406343,3088507.87,8244695.0,0.013950910251986278,2.0079261526460344e-06,74,16.554738711089996,3.7746668159928323,3.883394914149098
Tier 2,44180.0,27.239901991851518,1203458.87,6029748.0,0.007327006037399905,2.2151447905231693e-06,33,13.356764870367499,3.7082814445828145,3.853012048192771
Tier 3,73204.0,27.044361510299982,1979755.44,5872837.0,0.012464844503601922,2.6017756063506056e-06,54,15.279804046673272,3.665289256198347,3.8336150688239554
Tier 4,29603.0,28.64340708711955,847930.78,1069556.0,0.027677840150492353,1.0897147751439614e-05,29,11.655109760438748,3.596296296296296,3.897777777777778
