Rang,Name,1970,1980,1990,2000,2010,2020,2022,Bundesland

38.,Oberhausen,246.199,228.947,223.840,222.151,212.945,209.566,210.824,Nordrhein-Westfalen

39.,Rostock,198.636,232.506,248.088,200.506,202.735,209.061,209.920,Mecklenburg-Vorpommern

40.,Kassel,214.785,195.912,194.268,194.766,195.530,201.048,204.202,Hessen

41.,Hagen,201.042,218.927,214.449,203.151,188.529,188.687,189.783,Nordrhein-Westfalen

42.,Potsdam,111.336,130.900,139.794,129.324,156.906,182.112,185.750,Brandenburg

43.,Saarbrücken,128.251,193.554,191.694,183.257,175.741,179.349,181.959,Saarland

44.,Hamm,84.629,171.869,179.639,182.427,181.783,178.967,180.849,Nordrhein-Westfalen

45.,Ludwigshafen am Rhein,176.257,159.399,162.233,163.383,164.351,172.557,174.265,Rheinland-Pfalz

46.,Oldenburg,131.545,136.764,143.131,154.832,162.173,169.605,172.830,Niedersachsen

47.,Mülheim an der Ruhr,192.183,181.279,177.681,172.862,167.344,170.921,172.404,Nordrhein-Westfalen

48.,Osnabrück,144.864,157.367,163.168,164.101,164.119,164.223,167.366,Niedersachsen

49.,Leverkusen,107.626,160.825,160.919,161.047,160.772,163.905,165.748,Nordrhein-Westfalen

50.,Heidelberg,121.398,133.227,136.796,140.259,147.312,158.741,162.273,Baden-Württemberg

51.,Darmstadt,141.847,138.201,138.920,138.242,144.402,159.174,162.243,Hessen

52.,Solingen,177.124,166.085,165.401,164.973,159.927,159.193,160.643,Nordrhein-Westfalen

53.,Regensburg,130.888,132.604,121.691,125.676,135.520,152.270,157.443,Bayern

54.,Herne,103.849,182.542,178.132,174.529,164.762,156.940,157.368,Nordrhein-Westfalen

55.,Paderborn,68.207,110.155,120.680,139.084,146.283,151.864,154.755,Nordrhein-Westfalen

56.,Neuss,116.013,149.334,147.019,150.013,151.388,153.109,154.139,Nordrhein-Westfalen

57.,Ingolstadt,70.594,90.490,105.489,115.722,125.088,136.952,141.029,Bayern

58.,Offenbach am Main,118.841,110.993,114.992,117.535,120.435,130.892,134.170,Hessen

59.,Fürth,94.415,99.088,103.362,110.477,114.628,128.223,131.433,Bayern

60.,Ulm,93.158,100.671,110.529,117.233,122.801,126.405,128.928,Baden-Württemberg

61.,Heilbronn,102.300,111.938,115.843,119.305,122.879,126.458,128.334,Baden-Württemberg

62.,Pforzheim,91.104,106.500,112.944,117.156,119.781,126.016,127.849,Baden-Württemberg

63.,Würzburg,116.395,128.652,127.777,127.966,133.799,126.954,127.810,Bayern

64.,Wolfsburg,90.115,125.935,128.510,121.805,121.451,123.840,125.961,Niedersachsen

65.,Göttingen,109.892,129.656,121.831,124.132,121.060,116.845,118.946,Niedersachsen

66.,Bottrop,106.225,114.571,118.936,120.611,116.771,117.388,118.113,Nordrhein-Westfalen

67.,Reutlingen,79.705,95.456,103.687,110.650,112.484,116.031,117.547,Baden-Württemberg

68.,Erlangen,85.061,101.845,102.440,100.778,105.629,112.385,116.562,Bayern

69.,Bremerhaven,142.919,138.728,130.446,120.822,113.366,113.557,115.468,Bremen

70.,Koblenz,120.079,113.676,108.733,107.950,106.417,113.388,115.268,Rheinland-Pfalz

71.,Bergisch Gladbach,50.228,101.472,104.037,105.693,105.723,111.636,112.712,Nordrhein-Westfalen

72.,Remscheid,136.822,129.082,123.155,119.287,110.563,111.516,112.613,Nordrhein-Westfalen

73.,Trier,103.598,95.536,97.835,99.410,105.260,110.674,112.195,Rheinland-Pfalz

74.,Recklinghausen,125.369,119.418,125.060,124.785,118.365,110.705,111.734,Nordrhein-Westfalen

75.,Jena,88.130,103.718,102.518,99.893,105.129,110.731,111.191,Thüringen

76.,Moers,53.410,99.923,104.595,107.062,105.506,103.487,105.287,Nordrhein-Westfalen

77.,Salzgitter,119.031,113.600,114.355,112.302,102.394,103.866,104.548,Niedersachsen

78.,Siegen,57.563,112.320,109.174,108.476,103.424,101.943,102.560,Nordrhein-Westfalen

79.,Gütersloh,75.912,78.221,86.807,95.158,96.404,100.664,102.393,Nordrhein-Westfalen

80.,Hildesheim,93.373,102.619,105.291,103.909,102.794,101.055,101.858,Niedersachsen

81.,Hanau,55.492,86.402,86.913,88.294,88.637,97.137,101.364,Hessen

82.,Kaiserslautern,100.696,98.745,99.351,99.825,99.184,99.662,101.228,Rheinland-Pfalz

83.,Cottbus,83.444,113.479,125.891,108.491,102.091,98.693,99.515,Brandenburg

84.,Schwerin,97.389,121.175,127.447,101.267,95.220,95.609,98.596,Mecklenburg-Vorpommern

85.,Witten,97.687,105.876,105.403,103.196,98.233,95.876,95.897,Nordrhein-Westfalen

86.,Esslingen am Neckar,87.371,90.835,91.685,89.667,91.869,92.772,94.941,Baden-Württemberg

87.,Ludwigsburg,78.111,81.589,82.343,87.146,87.735,93.358,94.157,Baden-Württemberg

88.,Gießen,75.532,76.374,74.497,73.138,77.366,90.131,94.146,Hessen

89.,Gera,111.535,125.383,129.037,112.835,99.262,92.126,93.634,Thüringen

90.,Düren,53.755,85.913,86.508,91.801,92.820,91.272,93.207,Nordrhein-Westfalen

91.,Tübingen,55.168,73.132,80.372,81.128,88.358,91.077,92.811,Baden-Württemberg

92.,Flensburg,95.366,87.862,86.977,84.281,88.759,89.934,92.550,Schleswig-Holstein

93.,Iserlohn,57.321,93.823,96.314,98.790,94.966,91.815,92.540,Nordrhein-Westfalen

94.,Villingen-Schwenningen⁠3,37.999,78.904,78.218,80.891,81.022,85.686,88.213,Baden-Württemberg

95.,Ratingen,44.479,89.466,91.007,91.437,91.088,86.899,87.388,Nordrhein-Westfalen

96.,Zwickau,126.988,122.129,114.632,103.008,93.750,87.516,87.172,Sachsen

97.,Lünen,71.826,85.872,87.845,92.017,87.530,85.838,86.868,Nordrhein-Westfalen

98.,Konstanz,61.614,68.305,75.089,78.087,84.693,84.446,85.859,Baden-Württemberg

99.,Worms,77.064,73.603,76.503,80.361,81.736,83.459,84.646,Rheinland-Pfalz

100.,Marl,76.999,89.082,91.467,93.256,87.557,84.312,84.331,Nordrhein-Westfalen

101.,Minden,48.860,77.713,78.145,83.079,82.114,81.592,83.076,Nordrhein-Westfalen

102.,Velbert,55.610,93.056,89.253,89.782,84.033,81.564,82.445,Nordrhein-Westfalen

103.,Norderstedt,55.770,65.301,68.450,71.523,71.992,79.115,81.880,Schleswig-Holstein

104.,Bamberg,70.384,71.928,70.521,69.036,70.004,76.674,79.935,Bayern

105.,Dessau-Roßlau⁠2,98.402,102.529,96.754,83.153,86.906,79.354,79.655,Sachsen-Anhalt

106.,Neumünster,86.133,80.145,80.743,79.831,76.830,79.905,79.502,Schleswig-Holstein

107.,Delmenhorst,63.870,72.370,75.154,76.644,74.361,77.503,78.385,Niedersachsen

108.,Viersen,85.698,81.114,77.453,77.130,75.360,77.376,78.208,Nordrhein-Westfalen

109.,Rheine,50.076,71.432,70.452,75.886,76.530,76.123,77.893,Nordrhein-Westfalen

110.,Marburg,47.230,76.419,74.146,77.390,80.656,76.401,77.845,Hessen

111.,Lüneburg,59.763,62.225,61.870,67.398,72.983,75.301,76.837,Niedersachsen

112.,Dorsten,39.551,70.287,78.035,81.063,76.775,74.515,76.720,Nordrhein-Westfalen

113.,Troisdorf,51.941,58.618,64.430,72.678,75.369,74.994,76.251,Nordrhein-Westfalen

114.,Wilhelmshaven,102.978,99.230,90.561,85.287,81.324,75.189,76.089,Niedersachsen

115.,Gladbeck,83.132,79.747,80.267,77.789,75.253,75.518,75.889,Nordrhein-Westfalen

116.,Landshut,52.425,55.796,59.066,58.746,63.258,73.065,75.457,Bayern

117.,Detmold,63.684,67.612,70.074,73.695,72.758,74.097,75.089,Nordrhein-Westfalen

118.,Bayreuth,64.185,70.633,72.345,74.153,72.683,74.048,74.506,Bayern

119.,Arnsberg,22.398,78.056,75.864,77.473,74.227,73.487,74.323,Nordrhein-Westfalen

120.,Castrop-Rauxel,83.901,78.877,79.037,78.608,75.408,73.126,73.795,Nordrhein-Westfalen

121.,Brandenburg an der Havel,93.983,94.953,89.889,77.516,71.778,72.040,73.609,Brandenburg

122.,Aschaffenburg,55.119,59.257,64.098,67.592,68.678,70.858,72.444,Bayern

123.,Bocholt,49.244,65.352,68.936,72.138,73.170,71.061,71.930,Nordrhein-Westfalen

124.,Lüdenscheid,79.086,74.578,79.401,80.613,75.463,71.911,71.865,Nordrhein-Westfalen

125.,Celle,57.130,72.820,72.260,72.127,70.242,69.399,70.138,Niedersachsen

126.,Kempten (Allgäu),44.884,57.376,61.906,61.389,62.060,68.940,70.056,Bayern

127.,Fulda,45.187,57.035,56.289,62.510,64.349,67.980,69.968,Hessen

128.,Lippstadt,41.743,61.927,62.345,66.933,66.976,67.793,68.890,Nordrhein-Westfalen

129.,Aalen,37.066,63.030,64.781,66.066,66.113,68.361,68.816,Baden-Württemberg

130.,Dinslaken,55.241,59.473,65.313,70.714,69.472,67.338,67.762,Nordrhein-Westfalen

131.,Herford,65.422,62.881,63.893,65.083,64.088,66.495,67.459,Nordrhein-Westfalen

132.,Rüsselsheim am Main,60.911,60.974,59.430,59.357,60.294,65.972,67.277,Hessen

133.,Kerpen,10.608,54.725,57.337,63.135,64.602,65.802,67.239,Nordrhein-Westfalen

134.,Neuwied,62.666,60.485,62.075,67.057,64.318,64.860,65.986,Rheinland-Pfalz

135.,Weimar,63.634,63.709,60.326,62.425,65.479,65.098,65.620,Thüringen

136.,Dormagen,30.869,56.645,58.260,62.957,62.961,64.500,65.147,Nordrhein-Westfalen

137.,Sindelfingen,41.967,54.808,58.805,60.766,60.445,64.595,64.995,Baden-Württemberg

138.,Plauen,82.026,78.828,71.774,71.543,66.098,64.014,64.763,Sachsen

139.,Grevenbroich,27.698,60.317,60.835,64.688,63.891,63.941,64.596,Nordrhein-Westfalen

140.,Rosenheim,37.078,51.604,56.340,58.908,61.299,63.591,64.403,Bayern

141.,Neubrandenburg,46.087,79.006,89.284,73.318,65.282,63.372,63.989,Mecklenburg-Vorpommern

142.,Friedrichshafen,43.651,52.080,54.129,57.213,59.002,61.221,62.932,Baden-Württemberg

143.,Herten,52.966,69.247,69.245,66.930,62.235,61.860,62.473,Nordrhein-Westfalen

144.,Bergheim,10.493,54.064,58.146,63.526,62.129,61.860,62.376,Nordrhein-Westfalen

145.,Schwäbisch Gmünd,44.385,56.901,60.081,62.188,59.654,61.216,62.325,Baden-Württemberg

146.,Offenburg,33.066,50.486,52.964,56.891,59.215,60.388,61.670,Baden-Württemberg

147.,Garbsen,26.444,57.522,60.776,63.269,61.790,61.021,61.349,Niedersachsen

148.,Wesel,45.338,56.776,59.631,62.063,60.750,60.329,61.330,Nordrhein-Westfalen

149.,Neu-Ulm,27.925,47.415,46.264,50.188,53.504,58.841,61.043,Bayern

150.,Hürth,52.235,50.794,50.808,53.261,57.922,59.525,60.969,Nordrhein-Westfalen

151.,Unna,50.299,56.416,61.552,71.375,66.502,58.816,60.892,Nordrhein-Westfalen

152.,Langenfeld (Rheinland),44.217,47.027,53.455,58.429,59.160,59.112,59.783,Nordrhein-Westfalen

153.,Euskirchen,42.278,44.811,49.654,53.680,55.620,58.466,59.772,Nordrhein-Westfalen

154.,Greifswald,47.017,61.278,66.251,54.236,54.610,59.282,59.691,Mecklenburg-Vorpommern

155.,Stralsund,71.489,74.947,72.780,60.663,57.670,59.205,59.363,Mecklenburg-Vorpommern

156.,Göppingen,48.028,53.347,54.957,57.371,56.819,57.974,59.053,Baden-Württemberg

157.,Frankfurt (Oder),62.433,80.414,86.131,72.131,60.330,57.015,58.230,Brandenburg

158.,Hameln,47.201,58.390,58.539,58.807,57.771,57.276,57.905,Niedersachsen

159.,Meerbusch,46.904,49.876,52.104,55.175,54.318,56.479,57.422,Nordrhein-Westfalen

160.,Baden-Baden,37.185,49.142,51.849,52.627,54.445,55.449,57.025,Baden-Württemberg

